wins,loss
5,9
17,25
4,7
19,16
67,74
10,12
7,3
6,7
25,24
36,42
5,5
6,4
14,15
21,18
12,17
22,32
31,33
9,6
5,9
6,5
23,21
11,2
3,12
19,16
7,11
105,106
28,34
8,11
12,6
49,40
6,9
8,8
5,7
11,26
12,5
11,16
4,6
8,5
11,13
91,106
98,103
15,18
5,6
6,6
7,19
8,6
76,92
8,19
9,8
20,23
9,8
17,24
8,8
8,15
30,45
6,5
64,69
22,28
26,29
11,15
6,7
5,5
26,24
5,9
32,40
10,9
25,26
23,13
20,26
10,11
23,20
7,7
10,6
3,10
57,51
4,15
6,9
11,10
4,14
25,26
49,48
11,24
6,8
21,22
5,6
6,4
84,99
2,9
5,6
48,39
48,58
13,13
5,9
10,6
22,28
5,6
1,9
5,6
12,3
17,17
7,6
13,8
5,7
13,20
8,6
37,32
10,11
8,5
6,6
11,18
13,28
4,9
25,35
7,10
8,14
3,7
14,5
16,11
12,10
7,4
8,11
4,6
8,4
74,61
4,11
17,19
9,5
59,72
8,9
8,5
17,21
130,138
4,9
24,31
14,25
31,27
10,5
18,16
8,13
4,8
9,7
2,8
14,21
17,20
4,7
5,7
12,23
6,8
10,13
27,31
49,52
15,13
11,3
12,12
10,10
7,8
7,10
12,12
96,97
13,17
9,16
11,11
10,10
76,84
87,95
3,8
6,7
9,12
6,5
26,31
15,16
5,7
74,74
15,8
25,23
6,5
14,20
13,17
5,5
15,17
4,7
5,7
8,7
14,22
11,7
6,6
15,14
58,55
17,16
110,115
8,5
24,31
8,8
23,26
5,12
5,13
61,59
19,22
8,11
3,11
30,41
3,7
5,14
10,25
34,45
16,12
7,7
9,10
11,10
6,5
10,10
5,7
7,9
19,16
14,26
7,12
10,20
10,22
5,8
